Polish sentence	English meaning	Frequency
Jutro on będzie wolny.	He will be free tomorrow.	[ 106 65 51 885 ]
Lubię krótkie włosy.	I like short hair.	[ 47 358 426 ]
Co masz na myśli?	What do you mean?	[ 22 37 4 1045 ]
Jak mam tam wejść?	How am I to get in?	[ 20 43 40 1005 ]
Czy twój przyjaciel lubi herbatę?	Does your friend like tea?	[ 67 39 929 35 316 ]
Ona potrzebuje od nas pomocy.	She needs our help.	[ 125 429 29 86 719 ]
Jak się pisze twoje nazwisko?	How is your surname written?	[ 20 2 322 91 956 ]
Nie wiem jak długo to zajmie.	I don't know how long this'll take.	[ 5 154 20 112 6 1373 ]
On jest trzy lata starszy od niej.	He's three years older than she is.	[ 65 1 100 558 1036 29 160 ]
On jest trzy lata starszy od niej.	He's three years older than her.	[ 65 1 100 558 1036 29 160 ]
Idę tam teraz.	I'm going there now.	[ 733 40 63 ]
Nie chciałbym wyjść zbyt szybko.	I wouldn't want you to leave too soon.	[ 5 469 711 108 101 ]
Jest dość ciepło dzisiaj.	It's fairly warm today.	[ 1 268 774 76 ]
Idź, kiedy chcesz.	Go when you want.	[ 611 155 74 ]
Możemy porozmawiać sam na sam?	Can we talk alone?	[ 242 706 225 4 225 ]
Zrób to jeszcze raz.	Do it a second time.	[ 490 6 56 570 ]
Grasz w tenisa?	Do you play tennis?	[ 382 3 458 ]
To ładny dzień.	It's a nice day.	[ 6 474 363 ]
Nic się nie stało.	Nothing happened.	[ 126 2 5 992 ]
Czy twoje dziecko śpi?	Is your baby sleeping?	[ 67 91 293 674 ]
Zadzwoń do mnie jutro.	Call me tomorrow.	[ 999 7 14 106 ]
Znalazłem mu pracę.	I found him a job.	[ 499 44 302 ]
Zawsze chciałem mieć sportowy samochód.	I've always wanted to own a sports car.	[ 79 139 166 904 122 ]
Lepiej zostać w tym miejscu.	It's safer to stay right here.	[ 557 85 3 46 720 ]
Jestem młodszy od niego.	I'm younger than he is.	[ 30 907 29 163 ]
Masz wiadomość.	You have a message.	[ 37 528 ]
On stracił pracę.	He has lost his job.	[ 65 482 302 ]
Człowiek musi pracować.	A man must work.	[ 237 147 466 ]
Jestem gotowy.	I am ready.	[ 30 537 ]
Nie kocham cię.	I don't love you.	[ 5 820 26 ]
Czy twój samochód jest czarny?	Is your car black?	[ 67 39 122 1 1190 ]
Ona nie jest dobrym człowiekiem.	She is not a good person.	[ 125 5 1 274 1017 ]
Ile osób o tym wie?	How many people know about this?	[ 433 529 13 46 402 ]
Mam słownik.	I have a dictionary.	[ 43 527 ]
Nikt nie może mi pomóc.	No one can help me.	[ 1018 5 53 9 341 ]
Pan Smith przyszedł, kiedy cię nie było.	A Mr Smith came while you were out.	[ 55 1176 545 155 26 5 36 ]
Jesteś pewien, że chcesz rzucić pracę?	Are you sure that you want to quit your job?	[ 49 870 10 74 408 302 ]
To dziwne że nikt nas nie zna.	It's strange that nobody knows us.	[ 6 620 10 1018 86 5 259 ]
To był mój błąd.	That was my mistake.	[ 6 28 41 1073 ]
Proszę powiedz to jeszcze raz.	Please say it once more.	[ 216 587 6 56 570 ]
Nie rozumiem ani trochę o czym mówisz.	I can't make heads or tails of what you say.	[ 5 173 1344 72 13 152 251 ]
Powiedz mu, żeby przyszedł tu natychmiast.	Tell him to come here at once.	[ 587 44 205 545 32 310 ]
Ten stół jest tak duży jak nasz.	This table is just as large as ours.	[ 23 958 1 54 409 20 546 ]
O czym myślisz?	What are you thinking about?	[ 13 152 698 ]
Masz jakieś zwierzę?	Do you have a pet?	[ 37 176 650 ]
Jest starszy ode mnie o trzy lata.	He is senior to me by three years.	[ 1 1036 292 14 13 100 558 ]
Nie wierzę, że mnie kochasz.	I can't believe that you love me.	[ 5 324 10 14 1086 ]
Stracił wszystko.	He lost everything.	[ 482 94 ]
Czy pożyczysz mi trochę pieniędzy?	Will you lend me some money?	[ 67 844 9 72 448 ]
Możesz mi to pokazać?	Could you show me that?	[ 104 9 6 1034 ]
Myję mój samochód prawie codziennie.	I wash my car almost every day.	[ 707 41 122 129 444 ]
Chce pan zostawić wiadomość?	Would you like to leave a message?	[ 131 55 441 528 ]
Kiedy to się stało?	When did this occur?	[ 155 6 2 992 ]
Nie miałem tego na myśli!	I didn't mean to!	[ 5 372 19 4 1045 ]
Ona nie wie jak się gra w golfa.	She doesn't know how to play golf.	[ 125 5 402 20 2 148 3 1607 ]
Może być dumny ze swojego domu.	He may well be proud of his house.	[ 53 50 1234 45 97 256 ]
Ona poszła tam wczoraj.	She went there yesterday.	[ 125 932 40 60 ]
Nie chce mi się dzisiaj palić.	I don't feel like smoking today.	[ 5 131 9 2 76 1513 ]
Ludzie śmiali się z niego.	People laughed at him.	[ 250 1024 2 8 163 ]
Poszła zobaczyć się z nim innego dnia.	She went to see him the other day.	[ 932 182 2 8 194 428 281 ]
Właśnie zacząłem grać w tenisa.	I've just started playing tennis.	[ 145 731 111 3 458 ]
Wczoraj było ciepło.	It was hot yesterday.	[ 60 36 774 ]
Wczoraj było ciepło.	Yesterday was hot.	[ 60 36 774 ]
Jutro będziesz mógł się z nim spotkać.	You will be able to see him tomorrow.	[ 106 353 329 2 8 194 1039 ]
Muszę się przygotować do szkoły.	I've got to get ready for school.	[ 162 2 1050 7 232 ]
Czy to twój długopis.	Is this your pen?	[ 67 6 39 1052 ]
Czy wszyscy są gotowi?	Are you all ready?	[ 67 201 17 879 ]
Czy mógłbyś to zostawić do jutra?	Would you mind leaving it until tomorrow?	[ 67 289 6 441 7 936 ]
Czy możesz mi powiedzieć co znaczy to słowo?	Can you tell me what this word means?	[ 67 104 9 291 22 1295 6 535 ]
Dobrze się pan czuje?	Are you feeling OK?	[ 80 2 55 1028 ]
Idź do domu.	Go home.	[ 611 7 256 ]
Nie znam drogi do domu.	I don't know the way home.	[ 5 183 1006 7 256 ]
Niemowlę nie może mówić.	The baby can't speak.	[ 1000 5 53 110 ]
Jesteście na czas.	You're on time.	[ 625 4 248 ]
Co to był za hałas?	What was that noise?	[ 22 6 28 11 1397 ]
Cały dzień byłem zajęty.	I was busy all day.	[ 269 363 124 416 ]
Pamiętam, że gdzieś już ją spotkałem.	I remember meeting her somewhere.	[ 946 10 227 25 68 483 ]
Czy to miłość?	Is this love?	[ 67 6 809 ]
Czy to miłość?	Is it love?	[ 67 6 809 ]
Czy to miłość?	Is that love?	[ 67 6 809 ]
Jestem bardzo zadowolony z moje pracy.	I am very pleased with my job.	[ 30 15 1356 8 64 294 ]
Pogoda była bardzo dobra.	The weather was very good.	[ 553 61 15 550 ]
Czy jesteś wolny jutro wieczorem?	Are you free tomorrow evening?	[ 67 49 885 106 371 ]
To pański samochód?	Is this your car?	[ 6 759 122 ]
Mój wujek dał mi ten zegarek.	My uncle gave me this watch.	[ 41 1038 331 9 23 332 ]
Chcę, żeby każdy przyniósł swoje dzieci.	I want everyone to bring their children.	[ 77 205 379 853 57 204 ]
Powinieneś więcej studiować.	You should study harder.	[ 158 113 617 ]
On być może nie jest szczęśliwy.	He might not be happy.	[ 65 50 53 5 1 1603 ]
Jestem zmuszony to zrobić.	I am compelled to do it.	[ 30 980 6 169 ]
Jestem zmuszony to zrobić.	I am forced to do it.	[ 30 980 6 169 ]
Ten długopis nie pisze dobrze.	This pen doesn't write well.	[ 23 1052 5 322 80 ]
Dlaczego ja?	Why me?	[ 387 206 ]
Wczoraj graliśmy w tenisa.	We played tennis yesterday.	[ 60 665 3 458 ]
Ona ma dwa tysiące książek.	She has 2,000 books.	[ 125 12 109 836 405 ]
Czy ktoś do Ciebie wczoraj dzwonił?	Did anybody call on you yesterday?	[ 67 190 7 75 60 1387 ]
On kupił kapelusz.	He bought a hat.	[ 65 273 556 ]
Ten mały kot chce spać.	The little cat wants to sleep.	[ 23 327 574 131 435 ]
Każdego dnia ty tego nie widzisz.	You don't see that every day.	[ 208 281 98 19 5 1179 ]
Czy zacząłeś się uczyć angielskiego?	Have you started learning English?	[ 67 715 2 136 572 ]
Uśmiechnęła się.	She smiled.	[ 595 2 ]
Nigdy tu nie byłem od czasu wypadku.	I haven't been back here since the incident.	[ 295 32 5 124 29 549 1061 ]
Jestem od niego dwa lata młodszy.	I am two years younger than he.	[ 30 29 163 109 558 907 ]
Jeszcze nic nie widziałeś.	You ain't seen nothing yet.	[ 56 126 5 1014 ]
Czas żebyś poszedł spać.	It's your bedtime.	[ 248 184 334 435 ]
Jestem bardzo głodny.	I'm very hungry.	[ 30 15 856 ]
Ile kosztuje?	How much is it?	[ 433 168 ]
Ile kosztuje?	How much does it cost?	[ 433 168 ]
On idzie z nami.	He's coming with us.	[ 65 658 8 471 ]
Każde dziecko może to zrobić.	Any child can do that.	[ 982 293 53 6 169 ]
Byłem nauczycielem przez piętnaście lat.	I have been a teacher for 15 years.	[ 124 343 48 534 456 ]
Byłem nauczycielem przez piętnaście lat.	I was a teacher for fifteen years.	[ 124 343 48 534 456 ]
Ktoś ukradł wszystkie moje pieniądze.	Someone has stolen all my money.	[ 190 391 179 64 683 ]
Czy możesz mi podać gazetę?	Can you please pass me the newspaper?	[ 67 104 9 503 825 ]
Nie jestem pewien.	I'm not sure.	[ 5 30 870 ]
Nie jestem pewien.	I am not sure.	[ 5 30 870 ]
Możemy zrobić buty.	We can make shoes.	[ 242 169 494 ]
To nie jest normalne!	This ain't normal.	[ 6 5 1 1195 ]
Czuję, że muszę się napić.	I feel like a drink.	[ 366 10 162 2 969 ]
Nie przeczytał jeszcze książki.	He hasn't read the book yet.	[ 5 919 56 229 ]
To działo się każdego lata.	This was happening every summer.	[ 6 738 2 208 558 ]
To wystarczy na pięć dni.	It's enough for five days.	[ 6 895 4 157 451 ]
Co poszło nie tak?	What went wrong?	[ 22 1130 5 54 ]
Nie przejmuj się tym.	Don't worry about it.	[ 5 1160 2 46 ]
Czy byłeś kiedykolwiek w Japonii?	Have you ever been to Japan?	[ 67 279 226 3 942 ]
Widziałem psa.	I saw a dog.	[ 245 362 ]
Nie jest tak źle jak się wydaje.	It's not as bad as it sounds.	[ 5 1 54 1492 20 2 552 ]
Znamy się.	We know each other.	[ 606 2 ]
Jest pan głodny?	Are you hungry?	[ 1 55 856 ]
On jeździ do pracy samochodem.	He goes to work by car.	[ 65 214 7 294 944 ]
Dam ci książkę.	I'll give you a book.	[ 757 18 141 ]
Z pewnością był wtedy w domu.	He must have been home then.	[ 8 1063 28 475 3 256 ]
Czy uczysz się angielskiego codziennie?	Do you study English every day?	[ 67 443 2 572 444 ]
Proszę otworzyć drzwi.	Please open the door.	[ 216 267 434 ]
Nikogo tam nie spotkałem.	I didn't meet anyone there.	[ 695 40 5 483 ]
Mogę przez chwilę poczekać.	I don't mind waiting for a while.	[ 24 48 489 662 ]
Nie pomogę Ci, bo jestem zajęty.	I can't help you because I am busy.	[ 5 1080 18 287 30 416 ]
Umiem biegać tak szybko.	I can run as fast.	[ 436 636 54 101 ]
Nie musimy iść.	We don't have to go.	[ 5 828 88 ]
On ma trzy razy więcej książek ode mnie.	He has three times as many books as I have.	[ 65 12 100 1456 113 405 292 14 ]
Muszę iść po zakupy, będę za godzinę.	I have to go shopping. I'll be back in an hour.	[ 162 88 16 838 146 11 889 ]
Nie zatrzymuj się tutaj.	Don't stop here.	[ 5 1144 2 78 ]
Czy mógłbym zostawić wiadomość?	Can I leave a message?	[ 67 193 441 528 ]
Dała mu dużo pieniędzy.	She gave him a lot of money.	[ 697 44 42 448 ]
Lubię jeść jabłka.	I like to eat apples.	[ 47 217 660 ]
Kiedy mam karmić psa?	When should I feed my dog?	[ 155 43 672 362 ]
Wydaje dużo pieniędzy na buty.	She spends a lot of money on shoes.	[ 552 42 448 4 494 ]
Cały dzień grał w tenisa.	He was playing tennis all day.	[ 269 363 449 3 458 ]
Mówisz moim językiem.	You speak my language.	[ 251 102 573 ]
Ile masz lat?	How old are you?	[ 433 37 456 ]
Mówisz moim językiem.	You're speaking my language.	[ 251 102 573 ]
Naprawdę wiem, co powiedział.	I really know what he said.	[ 83 154 22 976 ]
Nikt mnie nie kocha.	Nobody loves me.	[ 1018 14 5 200 ]
Myślisz, że on ciągle mnie kocha?	Do you think he still loves me?	[ 698 10 65 869 14 200 ]
Naprawdę cię kocham.	I'm really in love with you.	[ 83 26 820 ]
Co zrobił dzisiaj?	What did he do today?	[ 22 831 76 ]
Wiesz, dokąd poszedł twój ojciec?	Do you know where your father went?	[ 497 564 334 39 115 ]
Kto jest twoim ulubionym nauczycielem?	Who's your favorite teacher?	[ 337 1 140 729 343 ]
Nigdy z nim nie pracowałem.	I never worked with him.	[ 295 8 194 5 1051 ]
To biurko jest dobre.	This desk is good.	[ 6 872 1 364 ]
Świat się na nim nie kończy.	He is not the only pebble on the beach.	[ 591 2 4 194 5 1070 ]
Gdzie jest stacja?	Where is the station?	[ 84 1 849 ]
Mój wujek dał mi książkę.	My uncle gave me a book.	[ 41 1038 331 9 141 ]
Czy to ci pasuje?	Are you alright with this?	[ 67 6 18 1158 ]
Ona woli słuchać niż mówić.	She would rather listen to others than talk herself.	[ 125 955 306 66 110 ]
Jak długo będę musiał czekać?	How long do I have to wait?	[ 20 112 146 593 691 ]
To nie dlatego tu jestem.	It's not why I'm here.	[ 6 5 1489 32 30 ]
Czy naprawdę mnie kochasz?	Do you really love me?	[ 67 83 14 1086 ]
Co byś zrobił na moim miejscu?	If you were in my place, what would you do?	[ 22 197 831 4 102 720 ]
Co byś zrobił na moim miejscu?	What would you do, if you were in my place?	[ 22 197 831 4 102 720 ]
Nie jestem całkiem pewien.	I'm not quite sure.	[ 5 30 346 870 ]
Jeszcze raz.	Once again.	[ 56 570 ]
On Nas uczy języka angielskiego.	He teaches us English.	[ 65 86 134 708 572 ]
Nie możemy żyć bez wody.	We cannot exist without water.	[ 5 242 344 62 913 ]
Znamy go.	We know him.	[ 606 21 ]
Czy to jest francuskie?	Is that French?	[ 67 6 1 1180 ]
Czy to jest francuskie?	Is this French?	[ 67 6 1 1180 ]
Wczoraj przybyłem tutaj.	I arrived here yesterday.	[ 60 803 78 ]
Muszę skończyć moją pracę.	I must finish my work.	[ 162 699 92 302 ]
On potrzebuje pieniędzy.	He needs money.	[ 65 429 448 ]
Jest trzy lata starszy od niej.	He's three years older than she is.	[ 1 100 558 1036 29 160 ]
On zrobi wszystko dla pieniędzy.	He'll do anything for money.	[ 65 934 94 31 448 ]
Nie grałem wczoraj w tenisa.	I did not play tennis yesterday.	[ 5 1047 60 3 458 ]
Zrobiła to wszystko sama.	She did it all by herself.	[ 413 6 94 747 ]
Bądź tak miły i zamknij drzwi.	Be kind enough to shut the door.	[ 244 54 641 27 491 434 ]
Kim jest ta dziewczyna?	Who is this girl?	[ 234 1 161 865 ]
Chodźmy już.	Let's go now.	[ 607 25 ]
Chodzi tam codziennie.	He goes there every day.	[ 464 40 444 ]
Nie wiem co robię.	I don't know what I'm doing.	[ 5 154 22 1083 ]
Kiedy zacząłeś uczyć się angielskiego?	When did you begin studying English?	[ 155 715 136 2 572 ]
Kiedy zacząłeś uczyć się angielskiego?	When did you begin learning English?	[ 155 715 136 2 572 ]
Kiedy zacząłeś uczyć się angielskiego?	When did you begin to learn English?	[ 155 715 136 2 572 ]
Jej mieszkanie zawsze jest czyste.	Her flat is always clean.	[ 33 681 79 1 787 ]
Ciągle tu jesteś?	Are you still around?	[ 869 32 49 ]
Chciałbym kupić psa.	I would like to buy a dog.	[ 469 120 362 ]
Czy wie, że go kochasz?	Does he know that you love him?	[ 67 402 10 21 1086 ]
Nikomu o tym nie mów.	Don't tell anyone this.	[ 1326 13 46 5 196 ]
Już jest za późno.	It is already too late.	[ 25 1 11 1232 ]
Idź i mu powiedz.	Go and tell him.	[ 611 27 44 587 ]
Ma niewiele pieniędzy.	He has little money.	[ 12 492 448 ]
Mój brat jest dobry z matematyki.	My brother is good at mathematics.	[ 41 209 1 119 8 1527 ]
Idź już.	Go now.	[ 611 25 ]
Mam nadzieję, że jest wszystko dobrze.	I hope that everything is okay.	[ 43 1680 10 1 94 80 ]
W tej sprawie ja nie wiem nic.	As regards the matter, I know nothing.	[ 3 82 1652 206 5 154 126 ]
Mam czterdzieści pięć lat.	I am forty-five years old.	[ 43 618 157 456 ]
Już prawie trzecia.	It is almost three.	[ 25 129 802 ]
Książka jest naprawdę stara!	This book is really old.	[ 90 1 83 1101 ]
Dlaczego codziennie się uczysz?	Why do you study every day?	[ 387 444 2 443 ]
Wielu ludzi zna tylko jeden język.	Many people only speaks one language.	[ 221 231 259 52 948 203 ]
Nic teraz nie robię.	I don't do anything now.	[ 126 63 5 1083 ]
Czasem gram z nią w tenisa.	I sometimes play tennis with her.	[ 629 645 8 174 3 458 ]
Nie wiem kogo chcesz spotkać.	I don't know who you want to meet.	[ 5 154 326 74 1039 ]
On wróci jutro.	He will be back tomorrow.	[ 65 788 106 ]
Były tam tysiące ludzi.	Thousands of people were there.	[ 172 40 836 231 ]
Skończyłem czytać tamtą książkę.	I've finished reading that book.	[ 240 137 762 141 ]
Co ty chcesz wiedzieć?	What is it you want to know?	[ 22 98 74 1087 ]
Mamy mnóstwo czasu.	We've got plenty of time.	[ 153 260 549 ]
Mam białego kota.	I have a white cat.	[ 43 480 440 ]
Mój syn ma dziesięć lat.	My son is ten years old.	[ 41 964 12 132 456 ]
On nie śpiewa dobrze.	He doesn't sing well.	[ 65 5 1135 80 ]
Nie bądź taki pewien.	Don't be so sure.	[ 5 244 167 870 ]
To jest stół.	That is a table.	[ 6 1 958 ]
Zawsze jestem głodny.	I always feel hungry.	[ 79 30 856 ]
To jest stół.	That's a table.	[ 6 1 958 ]
Zawsze jestem głodny.	I'm always hungry.	[ 79 30 856 ]
Nie wierz w to co ona mówi.	Don't believe what she says.	[ 5 2019 3 6 22 125 73 ]
Co jest dziś na obiad?	What is for dinner today?	[ 22 1 69 4 1514 ]
Co jest dziś na obiad?	What are we having for dinner today?	[ 22 1 69 4 1514 ]
To bardzo duże jabłka.	They are very big apples.	[ 6 15 608 660 ]
Powiedz mi, co się stało.	Tell me what happened.	[ 587 9 22 2 992 ]
Wczoraj kupiłem książkę.	I bought a book yesterday.	[ 60 767 141 ]
Mówisz po angielsku?	Do you speak English?	[ 251 16 701 ]
Kupiłem wczoraj książkę.	Yesterday, I bought a book.	[ 767 60 141 ]
Czuję, że jestem wolny.	I feel that I am free.	[ 366 10 30 885 ]
Czy rozwiązałeś już wszystkie problemy?	Have you solved all the problems yet?	[ 67 764 25 179 582 ]
Idę do szkoły.	I am going to school.	[ 733 7 232 ]
Ale nigdy mi tego nie powiedziałeś.	You never told me that.	[ 159 295 9 19 5 1457 ]
Kim jest od mnie cztery lata starszy.	Kim is older than I am by four years.	[ 234 1 29 14 398 558 1036 ]
Nie byli świadomi, że mnie tam nie było.	They were not aware that I was not there.	[ 5 264 2221 10 14 40 5 36 ]
Jak długo trwa ten film?	How long is this movie?	[ 20 112 1074 23 393 ]
Kto czyta?	Who is reading?	[ 337 312 ]
Musisz mieć zawsze czyste ręce.	You must always keep your hands clean.	[ 171 166 79 787 421 ]
To nie jest twój nóż.	That is not your knife.	[ 6 5 1 39 1573 ]
Lubisz takie życie?	Do you enjoy living like this?	[ 246 501 228 ]
Ten pies znał swojego pana.	The dog knew its master.	[ 23 215 1019 97 271 ]
W przyszłym miesiącu będzie zajęty.	He will be very busy next month.	[ 3 576 579 51 416 ]
To mój przyjaciel.	This is my friend.	[ 6 41 929 ]
Kiedy jestem z tobą, jestem szczęśliwy.	When I'm with you, I'm happy.	[ 155 30 8 127 30 1603 ]
Co chcesz żebym zrobił?	What do you want me to do?	[ 22 74 376 831 ]
Przepraszam, jak masz na imię?	Excuse me. What's your name?	[ 1316 20 37 4 253 ]
Przepraszam, jak masz na imię?	Sorry, what's your name?	[ 1316 20 37 4 253 ]
Idę grać w tenisa.	I am going to play tennis.	[ 733 111 3 458 ]
Moje mieszkanie jest niedaleko.	My apartment is near here.	[ 64 681 1 559 ]
Moje niemowlę chce mówić.	My baby wants to talk.	[ 64 1000 131 110 ]
To jest nasz główny cel.	This is our primary target.	[ 6 1 546 649 431 ]
Powiedział, by na niego nie czekać.	He told me not to wait for him.	[ 976 121 4 163 5 691 ]
Proszę otworzyć butelkę.	Please open the bottle.	[ 216 267 498 ]
Daj mi twoje pieniądze.	Give me your money.	[ 525 9 91 683 ]
To jest mojego brata.	It's my brother's.	[ 6 1 81 1220 ]
Wczoraj wieczorem przybyłem tutaj.	I arrived here last night.	[ 60 371 803 78 ]
Ona nie umie grać w golfa.	She doesn't know how to play golf.	[ 125 5 118 111 3 1607 ]
On pływa jak ryba.	He swims like a fish.	[ 65 548 20 682 ]
On pływa jak ryba.	He can swim like a fish.	[ 65 548 20 682 ]
